Controller_time,Current_output
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70833
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.70055
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.69277
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.68498
50:19.8,97.69277
50:19.8,97.69277
50:19.9,97.69277
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.6772
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
